#,division,division2,stage,game #,observers,#PS,DF,PWoS,A,SO,SOwDT,R,avgCOP/R,first Serve,QScore,Touches,T/Point,Ratio,,,,,,,,,,,,,,,,
41,open,Pro,Semis,2,no,39,23.08,10.26,5.13,53.85,23.08,12.82,3.4,0.41,68.518,151,3.871794872,0.741721854,,,,,,,,,,,,,,,,
42,open,Pro,Round of 16,1,,40,17.5,30,17.5,32.6,12.5,20,3.88,0.62,105.725,175,4.375,0.771428571,,,,,,,,,,,,,,,,
43,open,Pro,Round of 16,2,,47,27.66,10.64,6.38,48.94,17.02,12.77,3.5,0.38,60.49,172,3.659574468,0.726744186,,,,,,,,,,,,,,,,
44,open,Pro,Quarters,1,no,39,28.21,28.21,17.95,23.08,10.26,20.51,3.13,0.38,75.0213,134,3.435897436,0.708955224,,,,,,,,,,,,,,,,
45,open,Pro,Quarters,2,no,41,24.39,39.02,29.27,26.83,9.76,9.76,3,0.54,33.61,119,2.902439024,0.655462185,,,,,,,,,,,,,,,,
46,open,Pro,Quarters,3,yes,40,25,45,27.5,15,2.5,15,3.17,0.6,55.05,120,3,0.666666667,,,,,,,,,,,,,,,,
47,open,Pro,Semis,1,yes,32,34.38,43.75,40.63,18.75,9.38,3.13,3,0.47,-20.935,61,1.90625,0.475409836,,,,,,,,,,,,,,,,
48,open,Pro,Semis,2,yes,36,36.11,25,16.67,25,19.44,13.89,3.2,0.36,40.003,112,3.111111111,0.678571429,,,,,,,,,,,,,,,,
49,open,Pro,Place 3 Game,1,yes,36,8.33,50,36.11,33.33,16.67,8.33,3,0.64,33.4625,115,3.194444444,0.686956522,,,,,,,,,,,,,,,,
50,open,Pro,Place 3 Game,2,yes,49,12.24,38.78,26.53,40.82,24.49,8.16,3.5,0.47,45.55,171,3.489795918,0.713450292,,,,,,,,,,,,,,,,
51,open,Pro,Place 3 Game,3,yes,33,21.21,18.18,12.12,39.39,18.18,21.21,3.57,0.45,100.1947,145,4.393939394,0.772413793,,,,,,,,,,,,,,,,
52,open,Pro,Finals,1,yes,46,21.74,21.74,8.7,47.83,19.57,8.7,3.75,0.52,62.295,173,3.760869565,0.734104046,,,,,,,,,,,,,,,,
53,open,Pro,Finals,2,yes,39,25.64,17.95,5.13,35.9,7.69,20.51,3.25,0.44,82.6225,145,3.717948718,0.731034483,,,,,,,,,,,,,,,,
54,women,Pro,Semis,1,no,30,6.67,33.33,13.33,40,20,20,3.33,0.47,97.4325,147,4.9,0.795918367,,,,,,,,,,,,,,,,
55,women,Pro,Semis,2,no,39,5.13,25.64,5.13,53.85,28.21,15.38,3.83,0.44,92.4329,203,5.205128205,0.807881773,,,,,,,,,,,,,,,,
56,women,Pro,Semis,3,no,39,23.08,33.33,10.26,33.33,15.38,10.26,3.75,0.59,64.685,145,3.717948718,0.731034483,,,,,,,,,,,,,,,,
57,women,Pro,Finals,1,no,37,16.22,16.22,8.11,48.65,21.62,18.92,3.14,0.22,88.3938,166,4.486486486,0.777108434,,,,,,,,,,,,,,,,
58,women,Pro,Finals,2,no,33,15.15,36.36,3.03,39.29,21.21,9.09,3.67,0.39,67.5278,142,4.303030303,0.767605634,,,,,,,,,,,,,,,,
59,women,Pro,Finals,3,no,50,18,34,4,30,16,18,3.33,0.4,88.94,214,4.28,0.76635514,,,,,,,,,,,,,,,,
60,women,Pro,Quarters,1,no,29,10.34,44.83,17.24,31.03,3.45,13.79,3.5,0.45,77.835,113,3.896551724,0.743362832,,,,,,,,,,,,,,,,
61,women,Pro,Quarters,2,no,24,16.67,33.33,12.5,37.5,16.67,12.5,3.33,0.42,73.7075,92,3.833333333,0.739130435,,,,,,,,,,,,,,,,
62,open,Pro,Finals,1,yes,34,11.76,11.76,8.82,55.88,17.65,20.59,3.29,0.47,97.0061,154,4.529411765,0.779220779,,,,,,,,,,,,,,,,
63,open,Pro,Finals,2,yes,41,9.76,12.2,7.32,46.34,17.07,31.71,3.69,0.37,141.2149,232,5.658536585,0.823275862,,,,,,,,,,,,,,,,
