#;division;division2;stage;game #;observers;#PS;DF;PWoS;A;SO;SOwDT;R;avgCOP/R;first Serve;QScore;Touches;T/Point;;;;;;;;;;;;;;;;;;;;;;;;;
33;open;Contender Pro;Group Stage;1;;;;;;;;;0;0;42,5;;#DIV/0!;;;;;;;;;;;;;;;;;;;;;;;;;
34;open;;Semis;1;;;;;;;;;0;0;42,5;;#DIV/0!;;;;;;;;;;;;;;;;;;;;;;;;;
35;open;;Semis;2;;;;;;;;;0;0;42,5;;#DIV/0!;;;;;;;;;;;;;;;;;;;;;;;;;
36;open;;Finals;1;yes;25;24;20;12;32;4;24;3,66;0,6;105,34;104;4,16;;;;;;;;;;;;;;;;;;;;;;;;;
37;open;;Finals;2;yes;42;23,81;19,05;7,14;40,48;21,43;16,67;3,14;0,38;73,8888;164;3,904761905;;;;;;;;;;;;;;;;;;;;;;;;;
38;open;Pro;Group Stage;1;no;23;34,78;43,48;26,09;21,74;4,35;0;0;0,43;-18,15;45;1,956521739;;;;;;;;;;;;;;;;;;;;;;;;;
39;open;Pro;Group Stage;2;no;30;16,67;26,67;16,67;50;30;6,67;3,5;0,37;48,3425;112;3,733333333;;;;;;;;;;;;;;;;;;;;;;;;;
40;women;Contender Pro;Round of 16;1;no;25;28;40;20;28;16;4;3;0,36;15,5;69;2,76;;;;;;;;;;;;;;;;;;;;;;;;;
41;women;Contender Pro;Round of 16;2;no;31;12,9;19,35;16,13;58,06;19,35;9,68;4;0,42;66,705;124;4;;;;;;;;;;;;;;;;;;;;;;;;;
42;women;Contender Pro;Round of 16;3;no;30;33,33;16,67;0;36,67;16,67;13,33;3;0,33;44,165;99;3,3;;;;;;;;;;;;;;;;;;;;;;;;;
43;open;Pro;Quarters;1;no;27;14,81;29,63;22,22;48,15;11,11;7,41;5;0,63;57,3325;99;3,666666667;;;;;;;;;;;;;;;;;;;;;;;;;
44;open;Pro;Quarters;2;no;31;29,03;32,26;25,81;19,35;6,45;19,35;4,5;0,61;90,38;121;3,903225806;;;;;;;;;;;;;;;;;;;;;;;;;
45;open;Pro;Quarters;3;no;27;29,63;18,52;14,81;22,22;11,11;29,63;3,38;0,41;103,5744;105;3,888888889;;;;;;;;;;;;;;;;;;;;;;;;;
46;women;Contender Pro;Semis;3;no;36;11,11;13,89;5,56;52,78;13,89;22,22;3,13;0,67;98,1611;161;4,472222222;;;;;;;;;;;;;;;;;;;;;;;;;
47;women;Contender Pro;Finals;1;no;39;23,08;23,08;10,26;46,15;12,82;7,69;3,67;0,41;53,1473;131;3,358974359;;;;;;;;;;;;;;;;;;;;;;;;;
48;women;Contender Pro;Finals;2;no;40;25;30;7,5;37,5;15;7,5;4;0,43;53,75;142;3,55;;;;;;;;;;;;;;;;;;;;;;;;;
49;open;Pro;Semis;3;no;41;19,51;26,83;12,2;36,59;9,76;17,07;4,14;0,44;99,7573;175;4,268292683;;;;;;;;;;;;;;;;;;;;;;;;;
50;open;Pro;Finals;1;yes;39;20,51;30,77;23,08;33,33;10,26;15,38;3,33;0,49;72,3054;135;3,461538462;;;;;;;;;;;;;;;;;;;;;;;;;
51;open;Pro;Finals;2;yes;33;24,24;33,33;24,24;33,33;12,12;9,09;3;0,58;36,595;99;3;;;;;;;;;;;;;;;;;;;;;;;;;
52;open;Pro;Quarters;1;no;26;11,54;34,62;30,77;38,46;19,23;15,38;3,25;0,54;66,52;96;3,692307692;;;;;;;;;;;;;;;;;;;;;;;;;
53;open;Pro;Quarters;2;no;34;20,59;35,29;14,71;41,18;8,82;2,94;3;0,62;31,9;102;3;;;;;;;;;;;;;;;;;;;;;;;;;
54;open;Premier/Contender;Semis;1;no;26;23,08;38,46;30,77;26,92;15,38;11,54;3,67;0,58;48,6918;84;3,230769231;;;;;;;;;;;;;;;;;;;;;;;;;
55;open;Premier/Contender;Semis;2;no;40;22,5;25;20;22,5;12,5;30;3,17;0,48;112,6;164;4,1;;;;;;;;;;;;;;;;;;;;;;;;;
56;open;Premier/Contender;Finals;1;no;33;9,09;51,52;30,3;21,21;6,06;18,18;3,83;0,64;88,6469;133;4,03030303;;;;;;;;;;;;;;;;;;;;;;;;;
57;open;Premier/Contender;Finals;2;no;41;26,83;17,07;4,88;39,02;12,2;17,07;3,14;0,46;68,9048;155;3,780487805;;;;;;;;;;;;;;;;;;;;;;;;;
